_id,id,name,description,mrp,price,images[0],images[1],images[2],images[3],category,stock,inStock,storeId,createdAt,updatedAt
695a08065832f9d430e1c3b4,57fe0ffc-e86a-4858-835f-415fb754a715,Cherry Pop Drop Earrings,"The Scarlet Cherry Drop Earrings embody playfulness with a trace of sophistication, and they are meant to be the color highlight of the daily outfits. The earrings with the red cherry-like drops, shining with light, and paired with the sparkling stone studs are in the right place between fun and minimal charm.\n\nThe earrings are of a very light weight and so comfortable that they do not disturb your movements and this is why they are so suitable for informal outings, brunch dates, or giving a bright accent to plain dresses. The earrings are designed to look fresh and modern but not like a disguise, they convey a subtle statement that is too easy and not flashy to be ignored.",370,149,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767507822/product_1767507822_1767502854041.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767507871/product_1767507871_cherry2.png,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767507918/product_1767507918_cherry3.png,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767507968/product_1767507968_cherry4.png,Earrings,in_stock,true,default-store,2026-01-04T06:26:14.469Z,2026-01-04T06:26:14.469Z
695a0ac0dbe75e10837c93b2,36f56120-5351-4f24-b164-897468471b33,Golden Bloom Crystal Necklace Set,"Description:\n\nMake a statement full of grace by using the Golden Bloom Crystal Necklace Set which is made to increase the very festive and traditional looks. This set designed with very detailed floral patterns and sparkling crystal stones not only brings a rich bridal charm but also gives the wear feel lighter and more comfortable at the same time.\n\nThe necklace is the main piece of this set lying on the neck, while beautiful drop earrings, a maang tikka and a necklace are the pieces that complete the look. All these accessories are made for weddings, festive celebrations, sangeet and ethnic parties besides being quite attractive. The gold-tone finish and the stonework give it a luxurious appearance and at the same time it is comfortable to wear.\n\nIdeal for those who appreciate traditional Indian jewelry with a hint of glitter.\n\nSet Includes:\n\n1 Necklace\n1 Pair of Earrings\n1 Maang Tikka\n\nMaterial & Details:\n\na Gold-tone alloy base\nb Crystal-style stones\nc Adjustable chain closure \nd Lightweight for a full set\ne  Suitable for ethnic & festive wear",1199,499,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767508635/product_1767508635_1767502854172.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767508638/product_1767508638_1767502854155.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767508650/product_1767508650_necklace1.png,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767508666/product_1767508666_necklace2.png,Necklace,in_stock,true,default-store,2026-01-04T06:37:52.424Z,2026-01-04T06:37:52.424Z
695a0d8eb622f7e6ee00dc9c,f637e43f-6ab9-48c8-9099-4d592dab550e,Golden Petal Cascade Earrings,"Golden Petal Cascade Earrings, while delicate, are still very eye-catching. They come from a designer's imagination who saw soft flower shapes and flow in motion. The craftsmanship of these earrings is revealed through the warm gold-colored layered petals that give a graceful cascading effect, which is light and feminine.\n\nThe little crystal on the top is a subtle attention grabber and it is just the right amount of sparkle added, so the earrings would be fine for both day events and evening outings. They are so light and comfy that they go very well with Indian traditional clothing, dresses, and even modern fusion looks.\n\nThey are a versatile statement piece which seems to be classy and yet not overbearingly heavy. MATERIAL DETAILS:  Gold-tone alloy\nTextured petal-shaped design\nCrystal accent at stud\nLightweight & comfortable\nPush-back closure",578,299,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767509333/product_1767509333_1767502854131.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767509340/product_1767509340_1767502854121.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767509354/product_1767509354_shell1.png,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767509379/product_1767509379_shell2.png,Earrings,in_stock,true,default-store,2026-01-04T06:49:50.273Z,2026-01-04T06:49:50.273Z
695a0ee7e4e89cb65a24e19f,9d0a06ae-905e-48cc-b161-a1c3f472cd8a,Royal Blue Teardrop Necklace Set,"The Royal Blue Teardrop Necklace Set, elegant and timeless, is designed to add a luxurious sparkle to evening and festive looks. The set with deep blue stones on a silver-tone base and subtle crystal detailing creates a perfect harmony between boldness and elegance.\n\nThe necklace has a teardrop shape with flowing and elegant stone drops, the earrings being a matching piece adding a little movement and shine. Perfect for parties, receptions, festive gatherings, or formal occasions.\n\nThis is a timeless masterpiece that looks great in pictures and enhances even the most basic outfits.SET INCLUDES: 1 Necklace , 1 Pair of Earrings, 1 Maang Tiika. MATERIAL INCLUDES: Silver-tone alloy base, Blue stone & crystal detailing, Lightweight, comfortable wear, Adjustable chain closure",1399,510,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767509731/product_1767509731_1767502854193.jpg,,,,Necklace,in_stock,true,default-store,2026-01-04T06:55:35.630Z,2026-01-04T06:55:35.630Z
695a15be9aa5765de28ed35f,27f0e9a4-0406-494e-beac-56fbbe0c9927,Amber Butterfly Drop Earrings,"Radiant and magnificent, the Amber Butterfly Drop Earrings are intended to give the appearance of a warm and elegant lady. The earrings consist of beautifully crafted butterfly-stud in gold-tone plating and shining facet-cut drops of amber-colored crystals which are able to reflect the light in splendid way.\n\nThey are light and comfortable to wear, so they will give you the necessary sparkle without the feeling of heaviness or being overdone. These earrings will find their place in every day events, Christmas parties, brunches, and even night outs as they bring together charm and sophistication with no effort.\n\nAn excellent pick for those who like to wear beautiful but still not too loud and bright pieces of jewelry. Material & Details:\nGold-tone alloy\nFaceted amber-colored crystal drop\nButterfly stud design\nLightweight & easy to wear\nPush-back closure ",458,134,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767511466/product_1767511466_butterfly.png,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767511478/product_1767511478_1767502854102.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767511480/product_1767511480_1767502854091.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1767511483/product_1767511483_1767502854112.jpg,Earrings,in_stock,true,default-store,2026-01-04T07:24:46.145Z,2026-01-04T07:24:46.145Z
6967325851e7975b6210aa59,8c2bb970-9d9e-46b2-8c40-9539e6e42cea,Noor-e-Ruby Kundan Necklace Set,"Turn every entrance into a coronation. This opulent choker necklace and matching earrings are a celebration of old-world grandeur, woven with shimmering kundan stones, deep ruby accents, and delicate pearl drops. The gold-tone framework is intricately sculpted into floral and crescent motifs, creating a layered, regal silhouette that sits beautifully along the neckline.\n\nDesigned for brides and grand occasions, this set pairs heirloom charm with modern finesse. Each stone catches the light like a whispered secret, making it perfect for weddings, receptions, festive soirées, and couture styling.\n\n✨ Why you’ll love it:\n	•	Rich ruby-hued stones for a bold, royal glow\n	•	Handcrafted kundan-style detailing with intricate floral patterns\n	•	Pearl drop accents for soft movement and elegance\n	•	Statement choker design with matching chandelier earrings\n	•	Lightweight construction for all-evening comfort\n\nMaterial: Gold-plated alloy, kundan stones, synthetic rubies, pearls\nSet Includes: 1 choker necklace, 1 pair of earrings\nOccasion: Bridal wear, weddings, festive events, formal celebrations\n\nCare tip: Store in a dry, padded box and avoid direct contact with perfume or water to keep the shine eternal.",15000,7999,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768370757/product_1768370757_IMG_9021.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768370765/product_1768370765_IMG_9018.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768370769/product_1768370769_IMG_9020.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768370773/product_1768370772_IMG_9019.jpg,Heavy Necklace,in_stock,true,b0ce790f-d4a3-4088-9978-7298f0cc3fcb,2026-01-14T06:06:16.381Z,2026-01-14T06:06:16.381Z
69674a504ad133662bcc8937,44ab52a7-1599-4440-90c1-4f79d0c7e97a,The Celestial Maharani Set,"A masterpiece of sparkle and symmetry, this silver-toned choker set is designed to steal the spotlight. Intricately crafted with floral lattice patterns and concentric circular motifs, the choker hugs the neckline with regal elegance while the matching long earrings cascade in a delicate, architectural silhouette.\n\nEach stone is precision-set to catch the light from every angle, creating a luminous, diamond-like glow that elevates both traditional and modern outfits. Whether it’s a wedding, reception, cocktail evening, or festive celebration, this set brings couture drama with effortless grace.\n\nWhy you’ll love it:\n	•	Premium silver-tone finish with high-shine CZ stones\n	•	Intricate floral and spiral detailing for a luxurious look\n	•	Statement choker design that frames the neckline beautifully\n	•	Matching chandelier earrings for balanced glamour\n	•	Lightweight and comfortable for long wear\n\nMaterial: Silver-plated alloy, cubic zirconia stones\nSet Includes: 1 choker necklace, 1 pair of earrings\nOccasion: Bridal, engagement, party wear, festive events, evening functions\n\nCare Instructions:\nStore in a dry, soft pouch. Avoid direct contact with water, perfume, and harsh chemicals to maintain brilliance.",8000,5999,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768376905/product_1768376905_5F79F587-5E20-41DF-9578-5FCD0891449B.png,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768376907/product_1768376907_IMG_9031.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768376909/product_1768376909_IMG_9029.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768376911/product_1768376911_IMG_9032.jpg,Necklace,in_stock,true,b0ce790f-d4a3-4088-9978-7298f0cc3fcb,2026-01-14T07:48:32.231Z,2026-01-14T07:48:32.231Z
6967e0973ff7da723962952d,de2898b6-89cb-4362-a27c-6631a74f7e3e,Royal Kundan Garden Set,"The Royal Kundan Garden Set is a celebration of timeless craftsmanship and regal beauty. Designed with layers of luminous kundan stones arranged like delicate petals, this statement necklace is crowned with a grand floral medallion and finished with rich emerald green bead drops that sway gracefully with every movement.\n\nThe matching earrings echo the same garden-inspired elegance, creating a perfectly balanced set that feels opulent yet refined. Inspired by royal courts and blooming palace gardens, this set is made for brides and women who love jewellery that tells a story.\n\nPerfect for weddings, receptions, festive occasions, and grand celebrations, this piece transforms any traditional outfit into a royal ensemble.\n\nWhy you’ll love it\n	•	Premium gold-tone finish with high-shine kundan stones\n	•	Intricate floral design inspired by royal garden motifs\n	•	Rich emerald green bead drops for a regal contrast\n	•	Statement central pendant for a majestic look\n	•	Matching earrings for a complete, coordinated style\n	•	Lightweight construction for comfortable long wear\n\nMaterial: Gold-plated alloy, kundan stones, green beads\nSet Includes: 1 Necklace + 1 Pair of Earrings\nOccasion: Bridal, wedding, engagement, festive, party wear\n\nCare Instructions:\nStore in a dry, soft pouch. Avoid contact with water, perfume, and harsh chemicals to maintain brilliance.",4000,2100,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768415372/product_1768415372_8B6FFAE0-E448-45E7-A89A-D00DAB3654CE.png,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768415376/product_1768415376_IMG_9042.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768415378/product_1768415378_IMG_9043.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768415382/product_1768415381_IMG_9044.jpg,Heavy Necklace,in_stock,true,b0ce790f-d4a3-4088-9978-7298f0cc3fcb,2026-01-14T18:29:43.085Z,2026-01-14T18:29:43.085Z
6968b085efbc3d2858aaf2b0,011eb172-dd48-4eea-85f2-3933a6285be4,Royal Polki Style Green Choker Set with Earrings,"Add a touch of regal elegance to your look with this exquisite Polki-inspired choker necklace set, beautifully handcrafted with premium quality stones and rich gold-tone detailing. The necklace features a stunning arrangement of uncut-style white stones paired with deep emerald green teardrop accents, finished with delicate green bead drops for a graceful, traditional appeal. Matching chandelier earrings complete the set, making it a perfect choice for weddings, receptions, and festive occasions.\n\nDesigned to reflect timeless Indian craftsmanship, this set blends classic royal charm with modern sophistication. Whether styled with bridal wear, sarees, lehengas, or anarkalis, it instantly elevates your outfit with a luxurious statement.\n\nProduct Details:\n	•	Style: Polki inspired / Kundan look choker set\n	•	Necklace Type: Choker\n	•	Stone Color: Green & White\n	•	Metal Finish: Gold tone\n	•	Includes: 1 Choker Necklace + 1 Pair of Matching Earrings\n	•	Occasion: Wedding, Bridal, Reception, Party, Festive, Engagement\n	•	Closure: Adjustable thread / hook (as applicable)\n	•	Weight: Lightweight & comfortable for long wear\n\nWhy You’ll Love It:\n	•	Rich royal design with premium finish\n	•	Perfect balance of tradition and trend\n	•	Ideal for bridal and heavy ethnic looks\n	•	Makes a luxurious gift option\n",9999,6999,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768468598/product_1768468598_IMG_9055.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768468601/product_1768468601_IMG_9048.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768468604/product_1768468604_IMG_9054.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768468612/product_1768468612_1F314BD4-D577-4A52-9C28-681344DF71AB.png,Heavy Necklace,in_stock,true,b0ce790f-d4a3-4088-9978-7298f0cc3fcb,2026-01-15T09:16:53.793Z,2026-01-15T09:16:53.793Z
69690d8ae6e3eda5debbe84e,c700f5d1-5a47-4a26-8e1f-186d66b51574,Royal Ruby Jaal Choker Necklace Set,"A majestic blend of heritage design and contemporary elegance, the Royal Ruby Jaal Choker Necklace is crafted to make a powerful style statement. Featuring an intricate jaal (lattice) pattern adorned with shimmering white stones and rich ruby accents, this choker is finished in a radiant gold tone and delicately edged with pearl drops for a soft, graceful movement.\n\nIts broad, structured silhouette sits beautifully on the neckline, creating a bold yet elegant look that instantly elevates any traditional outfit. Designed for brides and festive occasions, this piece captures timeless royal charm.\n\nProduct Highlights\n	•	Intricate jaal (lattice) craftsmanship\n	•	Premium white stones with deep ruby detailing\n	•	Elegant pearl drop fringe border\n	•	Rich gold-tone finish for a royal appeal\n	•	Adjustable dori/thread closure for comfortable fit\n	•	Lightweight feel with grand visual impact\n\nPerfect For\n\nBridal wear, wedding functions, receptions, engagements, festive celebrations, and luxury occasions.",18000,7999,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768492419/product_1768492419_IMG_9071.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768492421/product_1768492421_IMG_9073.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768492423/product_1768492423_IMG_9074.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768492425/product_1768492425_IMG_9072.jpg,Heavy Necklace,in_stock,true,b0ce790f-d4a3-4088-9978-7298f0cc3fcb,2026-01-15T15:53:46.781Z,2026-01-15T15:53:46.781Z
6969172ac2f2042b05aaa36d,0020cee6-0a7e-46b3-852a-89960caedacb,Gulabi Noor Choker Set ,"Wrap your neckline in a whisper of romance and royal charm with the Gulabi Noor Choker Set. Crafted in a rich gold-tone finish, this statement choker features delicate blush-pink stones, soft pearl drops, and intricate floral detailing that create a graceful play of light and texture. The layered design adds depth and drama, while the gentle pink hues bring a fresh, feminine glow.\n\nPerfect for weddings, receptions, festive soirées, and bridal trousseaus, Gulabi Noor is designed to stand out without shouting. Pair it with pastel lehengas, sarees, or embellished gowns for an effortlessly regal look.\n\nHighlights:\n	•	Gold-tone base with blush pink accents\n	•	Elegant pearl and bead drops for graceful movement\n	•	Intricate floral and geometric detailing\n	•	Comfortable fit with adjustable thread closure\n	•	Ideal for bridal, festive, and occasion wear",7999,3999,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768494876/product_1768494876_IMG_9082.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768494880/product_1768494879_IMG_9080.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768494884/product_1768494883_IMG_9079.jpg,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768494888/product_1768494888_ABE95E40-7154-4135-9123-9B667ABA7719.jpg,Heavy Necklace,in_stock,true,b0ce790f-d4a3-4088-9978-7298f0cc3fcb,2026-01-15T16:34:50.230Z,2026-01-15T16:34:50.230Z
696a9e04a155e5ec72f6a19e,494da58f-fb2c-4db3-aad0-bae7e7b6a04a,Textured Gold Pyramid Stud Earrings,"Clean geometry meets luminous shine. These square stud earrings are crafted with a rich gold finish and a finely textured surface that catches the light from every angle. The subtle pattern adds depth and character, while the bold square silhouette keeps the look modern and confident.\n\nPerfectly balanced between statement and simplicity, they move effortlessly from everyday wear to evening elegance. Style them with crisp tailoring for a polished look or let them glow against soft fabrics for a touch of quiet luxury.\n\nDetails\n	•	Square stud design\n	•	Textured, light-reflective surface\n	•	Polished gold-tone finish\n	•	Comfortable, secure fit\n\nTimeless, versatile, and quietly striking. A small piece with a strong presence ✨",499,110,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768594917/product_1768594917_481D9101-F00A-4426-99E1-258B9CCFCBC8.png,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768594926/product_1768594925_D615AB35-B29B-4099-8CAD-F3921A218B72.png,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768594935/product_1768594934_436567F9-5502-49DF-A4D5-339A58819453.png,https://res.cloudinary.com/do2q4f1oj/image/upload/v1768594946/product_1768594946_BEB347E7-2A9B-49EE-84BA-C4231E96C59C.png,Earrings,in_stock,true,b0ce790f-d4a3-4088-9978-7298f0cc3fcb,2026-01-16T20:22:28.148Z,2026-01-16T20:22:28.148Z
